# {'k0': 0.5, 'sigma0': 188.49555921538757, 'N': 1, 'omega_out': 1086.9910581420684, 'sigma_out': 125.66370614359172, 'omegap': 1256.6370614359173, 'sigmap': 628.3185307179587}
x,p,wOut,wIn
-9.393939393939394,-9.191919191919192,-4.804204370869007e-24,3.825536331491286e-69
-9.393939393939394,-8.98989898989899,-3.59631391998009e-23,1.4113808721413797e-67
-9.393939393939394,-8.787878787878787,-2.536611239474142e-22,4.799208243668413e-66
-9.393939393939394,-8.585858585858587,-1.6837614954964051e-21,1.5041239777459246e-64
-9.393939393939394,-8.383838383838384,-1.0502710202409943e-20,4.34512734500839e-63
-9.393939393939394,-8.181818181818182,-6.145293993500369e-20,1.1570266955646233e-61
-9.393939393939394,-7.979797979797979,-3.36550052625545e-19,2.8400398829144843e-60
-9.393939393939394,-7.777777777777778,-1.7203779354649365e-18,6.426358465590444e-59
-9.393939393939394,-7.575757575757576,-8.179563868422632e-18,1.3405569222284666e-57
-9.393939393939394,-7.373737373737374,-3.600428130978191e-17,2.5781421354139143e-56
-9.393939393939394,-7.171717171717171,-1.4580528227247928e-16,4.571433094836035e-55
-9.393939393939394,-6.96969696969697,-5.384785515838649e-16,7.473870911555171e-54
-9.393939393939394,-6.767676767676768,-1.7902683123422236e-15,1.126708353509751e-52
-9.393939393939394,-6.565656565656566,-5.250367602860297e-15,1.5663049222201818e-51
-9.393939393939394,-6.363636363636363,-1.3113953686229127e-14,2.0080169111454884e-50
-9.393939393939394,-6.161616161616162,-2.5998956683314293e-14,2.374177839230544e-49
-9.393939393939394,-5.959595959595959,-3.3879959703996055e-14,2.5890695124324434e-48
-9.393939393939394,-5.757575757575758,-6.494105022766038e-15,2.60429198106243e-47
-9.393939393939394,-5.555555555555555,4.124371194168675e-14,2.416479868665108e-46
-9.393939393939394,-5.353535353535354,-3.399913320879643e-13,2.068508766762127e-45
-9.393939393939394,-5.151515151515151,-2.6829259918144766e-12,1.6336025028044355e-44
-9.393939393939394,-4.94949494949495,-4.787530674324167e-12,1.1903793395746123e-43
-9.393939393939394,-4.747474747474747,5.0290060353601666e-11,8.004060173811552e-43
-9.393939393939394,-4.545454545454546,5.68169573232295e-10,4.9665873259395035e-42
-9.393939393939394,-4.343434343434343,3.6037826333508806e-09,2.8442386891512253e-41
-9.393939393939394,-4.141414141414142,1.7689504288963512e-08,1.5033920486837277e-40
-9.393939393939394,-3.9393939393939394,7.343647987175601e-08,7.335253388294424e-40
-9.393939393939394,-3.737373737373738,2.682352760868648e-07,3.3039488682469644e-39
-9.393939393939394,-3.5353535353535355,8.809044260290045e-07,1.3739330642176832e-38
-9.393939393939394,-3.333333333333333,2.635985488770273e-06,5.275340702264296e-38
-9.393939393939394,-3.1313131313131315,7.251221732801109e-06,1.8703652941116495e-37
-9.393939393939394,-2.929292929292929,1.8451704783689295e-05,6.123942624846443e-37
-9.393939393939394,-2.7272727272727275,4.363065183410973e-05,1.8518319113743477e-36
-9.393939393939394,-2.525252525252525,9.61966752633165e-05,5.1721821988784106e-36
-9.393939393939394,-2.3232323232323235,0.00019828176050667483,1.3343896599461826e-35
