# {'k0': 0.5, 'sigma0': 188.49555921538757, 'N': 3, 'f_out': 173, 'sigma_out': 125.66370614359172, 'omegap': 1256.6370614359173, 'sigmap': 628.3185307179587}
x,p,wIn1,wIn2,wIn3,wOut,wOutP,wOutS
-5.878787878787879,-2.606060606060606,1.5821734843370412e-112,1.3749255722775593e-52,5.811080700483266e-34,2.851818801439099e-08,9.009639809767852e-11,5.359951486171635e-89
-5.878787878787879,-2.484848484848485,1.7199792149159757e-112,1.6517720610167086e-52,7.810236721125017e-34,3.206645741777486e-08,1.0332088485975016e-10,6.003510064626978e-89
-5.878787878787879,-2.3636363636363633,1.8623666915490496e-112,1.9671033987163305e-52,1.0350393349162203e-33,3.5855422610138877e-08,1.177162425387113e-10,6.688129237712821e-89
-5.878787878787879,-2.242424242424242,2.0085381856076495e-112,2.3222576805278795e-52,1.352492543462453e-33,3.98688321992397e-08,1.3324540819878318e-10,7.410697729208684e-89
-5.878787878787879,-2.121212121212121,2.1575848803847314e-112,2.7176891057322016e-52,1.742602253298292e-33,4.4084608771060936e-08,1.4984273743133234e-10,8.167113133402902e-89
-5.878787878787879,-2.0,2.308493135574993e-112,3.1527917493070968e-52,2.2138440787549816e-33,4.847471607084775e-08,1.6741205657326022e-10,8.952267961306203e-89
-5.878787878787879,-1.878787878787879,2.4601533840942513e-112,3.625742385548613e-52,2.7731997749881645e-33,5.300518612454425e-08,1.858255174873972e-10,9.760062616786982e-89
-5.878787878787879,-1.7575757575757578,2.6113716370667993e-112,4.133374427014945e-52,3.4253160495782256e-33,5.7636322213298676e-08,2.0492340173590472e-10,1.0583447604742136e-88
-5.878787878787879,-1.6363636363636367,2.760883496258416e-112,4.671094990967606e-52,4.171627385316138e-33,6.23230880718794e-08,2.2451499312730787e-10,1.1414496350005947e-88
-5.878787878787879,-1.5151515151515147,2.907370494637985e-112,5.232856152735783e-52,5.0095156444569755e-33,6.701568710819398e-08,2.4438060001365486e-10,1.2244508931961058e-88
-5.878787878787879,-1.3939393939393936,3.0494785078652865e-112,5.811189531638337e-52,5.931592833193368e-33,7.166032807944553e-08,2.642747625598488e-10,1.306414585590223e-88
-5.878787878787879,-1.2727272727272725,3.185837905224646e-112,6.397310500740734e-52,6.925199570932539e-33,7.620016582285915e-08,2.8393062741838977e-10,1.3863589738016277e-88
-5.878787878787879,-1.1515151515151514,3.3150850407907016e-112,6.981294626539432e-52,7.972208019192621e-33,8.057639769201826e-08,3.030654153807677e-10,1.4632731533860076e-88
-5.878787878787879,-1.0303030303030303,3.4358846272521373e-112,7.552324628568845e-52,9.049202736274538e-33,8.472948869627182e-08,3.2138684972091815e-10,1.5361376752542417e-88
-5.878787878787879,-0.9090909090909092,3.5469524884453467e-112,8.099001483138885e-52,1.0128086018761556e-32,8.860049139636039e-08,3.3860035751398637e-10,1.6039466033744788e-88
-5.878787878787879,-0.7878787878787881,3.6470781544962087e-112,8.60970862371906e-52,1.1177117367457113e-32,9.213242077844625e-08,3.544168067362622e-10,1.6657303583033442e-88
-5.878787878787879,-0.6666666666666661,3.7351467473235086e-112,9.073013891605844e-52,1.2162353123383352e-32,9.527163997718874e-08,3.685605018244166e-10,1.7205786316973306e-88
-5.878787878787879,-0.545454545454545,3.810159605303914e-112,9.478090343976042e-52,1.3049406891892992e-32,9.796921014924494e-08,3.8077713259305296e-10,1.7676626207631684e-88
-5.878787878787879,-0.42424242424242387,3.871253114701102e-112,9.815134575245255e-52,1.3805409856177332e-32,1.001821572289291e-07,3.90841358338729e-10,1.806255826720845e-88
-5.878787878787879,-0.30303030303030276,3.917715251872034e-112,1.0075760121887546e-51,1.4401018330235754e-32,1.0187460984187098e-07,3.985637121078518e-10,1.8357526893030925e-88
