# {'k0': 0.5, 'sigma0': 188.49555921538757, 'N': 3, 'sigma_out': 125.66370614359172, 'omegap': 1256.6370614359173, 'sigmap': 628.3185307179587}
alpha,fOut,scalex,scalep,thermx,thermp
2624242.4242424243,171,-25.44855116138942,7.885739290867442,1.7385578755418662,1.7154221221551464
2673737.373737374,171,-27.051465899702098,8.382433039324885,1.738442893265391,1.715307201955099
2723232.3232323234,171,-28.754747988851356,8.910227601354059,1.7383410909420802,1.71520545521058
2772727.272727273,171,-30.5647170091399,9.471081219889937,1.7382509584354324,1.7151153723959551
2822222.2222222225,171,-32.48808837467406,10.067074794803567,1.7381711584995112,1.715035616835122
2871717.171717172,171,-34.53199824914213,10.700419603533826,1.7381005070159348,1.7149650049369303
2921212.1212121216,171,-36.704030022673166,11.373465505450909,1.7380379554830956,1.714902488684382
2970707.070707071,171,-39.01224244801206,12.088709660391581,1.7379825755025102,1.7148471401219978
3020202.02020202,171,-41.46519954040238,12.848805793714137,1.7379335450356972,1.7147981376144656
3069696.9696969697,171,-44.07200235211322,13.65657404224852,1.737890136230475,1.7147547536751193
3119191.9191919193,171,-46.84232273950016,14.515011417672437,1.7378517046381476,1.714716344185598
3168686.868686869,171,-49.786439247885134,15.42730292613507,1.7378176796632219,1.7146823388481374
3218181.8181818184,171,-52.915275247396224,16.396833385384994,1.737787556105212,1.7146522327299762
3267676.767676768,171,-56.2404394612599,17.427199983246236,1.7377608866679597,1.7146255787752178
3317171.7171717174,171,-59.774269036915946,18.522225624037823,1.737737275326078,1.714601981173727
3366666.666666667,171,-63.52987531975906,19.685973112455045,1.7377163714506234,1.7145810894891205
3416161.6161616165,171,-67.52119249933823,20.92276022753793,1.7376978646072725,1.7145625934591122
3465656.565656566,171,-71.76302930850285,22.23717574265492,1.7376814799501195,1.7145462183913296
3515151.5151515156,171,-76.27112396731178,23.634096450939808,1.7376669741430013,1.7145317210864959
3564646.4646464647,171,-81.0622025755608,25.118705259350357,1.7376541317480032,1.7145188862286345
3614141.414141414,171,-86.15404117057729,26.696510418481623,1.73764276202769,1.7145075231888551
3663636.3636363638,171,-91.56553168053247,28.373365959481333,1.737632696113712,1.7144974631953684
3713131.3131313133,171,-97.31675201797334,30.155493413893183,1.7376237844998499,1.7144885568278048
3762626.262626263,171,-103.4290405736373,32.049504897013534,1.737615894822341,1.7144806717986838
3812121.2121212124,171,-109.92507538693985,34.062427640406554,1.7376089098945942,1.7144736909891778
3861616.161616162,171,-116.82895828687666,36.20173006459903,1.7376027259671516,1.7144675107099943
3911111.1111111115,171,-124.16630431552257,38.475349488691144,1.7375972511870998,1.7144620391616188
3960606.060606061,171,-131.9643367659088,40.89172157969126,1.7375924042340714,1.71445719507107
4010101.0101010106,171,-140.25198818689375,43.45981165084066,1.7375881131126063,1.7144529064849237
4059595.9595959596,171,-149.0600077297777,46.18914792505063,1.7375843140829605,1.7144491097007148
4109090.909090909,171,-158.42107523494212,49.08985688686794,1.7375809507144868,1.714445748320852
4158585.8585858587,171,-168.36992248180542,52.172700854133296,1.7375779730475425,1.7144427724149987
4208080.808080808,171,-178.943462051956,55.44911790873119,1.7375753368514888,1.714440137778492
4257575.757575758,171,-190.18092428358057,58.93126433458523,1.7375730029677576,1.714437805275789
4307070.707070707,171,-202.1240028253181,62.6320597203532,1.7375709367282508,1.7144357402591899
4356565.656565657,171,-214.81700932957952,66.56523489416318,1.7375691074404136,1.7144339120542207
4406060.606060606,171,-228.30703785928125,70.74538286824087,1.7375674879313583,1.7144322935040082
4455555.555555556,171,-242.6441396179833,75.18801298244425,1.7375660541442601,1.7144308605659169
4505050.5050505055,171,-257.88150865171696,79.90960844759043,1.7375647847810263,1.7144295919544246
4554545.454545455,171,-274.075679211506,84.92768750207534,1.7375636609859477,1.7144284688249538
4604040.404040405,171,-291.2867355088395,90.26086840869087,1.7375626660656192,1.7144274744939616
4653535.353535354,171,-309.57853464233744,95.92893853279256,1.7375617852409788,1.714426594191119
4703030.303030304,171,-329.0189435227245,101.95292775811616,1.7375610054277815,1.714425814839918
